เลขทะเบียน,ISBN,ผู้แต่ง,ผู้แต่ง(นิติบุคคล),ชื่อเรื่อง,ชื่อเรื่องที่แตกต่าง,ชื่อผู้แปล /ผู้รวบรม,เลขหมู่,เลขประจำหนังสือ,ครั้งที่พิมพ์,สถานที่พิมพ์,สำนักพิมพ์,จำนวนหน้า,ภาพประกอบ,หัวเรื่อง
,978-616-7368-26-9,มิลินทร์,,เด็กน้อยโตเข้าหาแสง,,,155.41,ม-ด,,กรุงเทพฯ,สวนเงินมีนา,255,,จิตวิทยาเด็ก
,978-974-02-1403-8,บูม ภัทรพล เหลือบุญชู,,Japan Salary man เป็นได้มากว่ามนุษย์เงินเดือน,,,158.7,ภ-ห,,กรุงเทพฯ,มติชน,184,,การทำงาน
,978-616-04-3938-6,ชิน วูฮยุน,,20 นักคณิตศาสตร์เผยความลับคณิตศาสตร์,,,510,ช-ฮ,,กรุงเทพฯ,นานมีบุ๊คส์,208,,คณิตศาสตร์
,978-974-02-1586-8,สถาวร จันทร์ผ่องศรี,,วิ่งได้ ไม่ใช่แค่ได้วิ่ง,,,796.42,ส-จ,,กรุงเทพฯ,มติชน,200,,การวิ่ง
,978-616-20-1510-6,เอกรัตน์  อุดมพร,,"๕,๐๐๐ สำนวนไทย นับแต่อดีตจวบจนปัจจุบัน",,,398.9591,อ-อ,,กรุงเทพฯ,พ.ศ. พัฒนา,248,,ภาษาไทย
,978-974-484-284-8,เยาวชนบ้านกาญจนาภิเษก,,ก้าวที่พลาด,,,364.36,ย-ก,,กรุงเทพฯ,สารคดี,246,,อาชญากรรมวัยรุ่น
,978-616-494-037-6,ปภาภรณ์   ปิ่นจุฑารัตน์,,"เก่งศัพท์ญี่ปุ่น 3,000 คำใน 30 วัน",,,495.681,ป-ป,,กรุงเทพฯ,คาร์เปเดียมเมอร์,440,,ภาษาญี่ปุ่น
,978-974-484-284-8,เยาวชนบ้านกาญจนาภิเษก,,ก้าวที่พลาด,,,364.36,ย-ก,,กรุงเทพฯ,สารคดี,246,,อาชญากรรมวัยรุ่น
,978-616-04-4157-0,อี ชีแอ ,,รู้จักตนเอง เข้าใจผู้อื่น,,,158.1,อ-ซ,,กรุงเทพฯ,นานมีบุ๊คส์,208,,ความตระหนักในศักยภาพตน
,978-974-02-1557-8,นำชัย  ชีววิวรรธน์,,อย่าชวนเธอไปดูหนังรัก,,,128,น-ช,,กรุงเทพฯ,มติชน,208,,มนุษย์
,978-616-06-2391-4,ฮันนี่,,ฤดูร้อนในช้อนหวานเย็น,,,น,ฮ-ฤ,,กรุงเทพฯ,เอเวอร์วาย,380,,นวนิยายไทย
,978-616-00-3898-5,Scriper,,ฉลามไม่กินเนื้อ,,,น,ส-ฉ,,กรุงเทพฯ,Deep,575,,นวนิยายไทย
,978-616-00-4060-5,littlebbear96,,พี่เจตคนกลาง,,,น,ล-พ,,กรุงเทพฯ,Deep,447,,นวนิยายไทย
